Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Dixington Crescent,South,From a point 106 metres south of Dixon Road (west intersection) and a point 13 metres east/south thereof,Anytime,
Coules Court (south portion of road),South,Brown's Line and a point 45.5m west,Anytime,
Elma Street,South,Dwight Avenue an Royal York Road,Anytime,
Carsbrooke Road,Both,Cambrian Road and a point 75 metres west thereof,Anytime,
Bergamot Avenue,North,A point 190.5m east of Rexdale Boulevard and Islington Avenue,Anytime,
Berry Road,Both,Park Lawn Road and a point opposite the west limit of Prince Edward Drive South,Anytime,
Marina Avenue,North,A point 53 metres east of Thirty Fifth Street,"8:00 a.m. to 5:00 p.m., Mon. to Fri.",
Minglehaze Drive,East,Shockley Drive and a point 85 metres north and east,Anytime,
Lake Shore Drive,South,Eleventh Street (south intersection) and a point opposite the west limit of Thirteenth Street,Anytime,
La Rose Avenue,North,Royal York Road a point 122 metres west of Griggsden Avenue,Anytime,
Great Oak Drive,North,Remington Drive (west intersection) and a point opposite the south limit of Greening Crescent,Anytime,
Haimer Avenue,Both,Jupp Court and a point 67.5 metres south and west,Anytime,
Jackson Avenue,West,Laneway first north of Bloor Street Westand a point 61 metres north of King Georges Road,Anytime,
Genthorn Avenue,South,Kipling Avenue and point 41 metres east,Anytime,
Sussex Drive,South,Royal York Road and,Anytime,
Thistle Down Boulevard,North,A point opposite the east limit of Dashwood Crescent (west intersection) and a point 113 metres west and south thereof,Anytime,
Tandridge Crescent,East,Byng Avenue and a point opposite the the south limit of Arcot Boulevard,Anytime,
Trehorne Drive,West,Royal York Road and a 356 metres west,8:00 a.m. to 5:00 p.m.,
Simpson Avenue (ET),North,The first lane west of Royal York Road and a point opposite the east limit of St. George Street,Anytime,
Riverdale Drive,Both,Albion Road and a point 45.5 metres of the road,Anytime,
Riverwood Parkway,North,Stephen Drive and a point opposite the south limit of Humber Ridge Drive,Anytime,
North Kingslea Drive,Both,Kingslea Gardens and and point 61.5 metres north and east thereof,Anytime,
Bimbrok Road,East,Eglinton Avenue East and 30.5 metres north of Eglinton Avenue East,Anytime,
Bethune Boulevard,North and east,Muir Drive and a point 113 metres southeast of Muir Drive,Anytime,
Barbados Boulevard,Both,Eglinton Avenue and 70 metres south of Eglinton Avenue East,Anytime,
Waterford Drive,East and south,A point 201 metres south and west of Summitcrest Drive and a point 35 metres south and west thereof,Anytime,
Waterford Drive,South,A point 325 metres south and west of Summitcrest Drive and a point 31 metres west thereof,Anytime,
Aveline Crescent,East,A point 150.2 metres northeast of Lynnbrook Drive (southeast intersection) and a point 151.7 metres northeast of Lynnbrook Drive (northwest intersection),"7:00 a.m. to 6:00 p.m., Mon. to Fri.",
Lavery Trail,North and west,Meadowvale Road and a point 82 metres northeast of Meadowvale Road,Anytime,
Echo Point,South,Bridletowne Circle and the west end of Echo Point,Anytime,
Elfreda Boulevard,East,St. Clair Avenue East and a point opposite the north limit of Trinnell Boulevard,Anytime,
Dolphin Drive,South,Pharmacy Avenue and a point opposite the west limit of Bexhill Avenue,Anytime,
Old Kingston Road,Both,Military Trail and a point 680 metres southwest of Miltary Trail,Anytime,
Ormerod Street,South,Markham Road and 120 metres east of Markham Road,Anytime,
Newlands Avenue,North,A point opposite the east limit of Santamonica Boulevard (east intersection) and Birchmount Road,Anytime,
Ambrose Road,East,A point opposite the southerly limit of Maureen Drive and a point opposite the southerly limit of Howard Drive,"9:00 a.m. to 6:00 p.m., Mon. to Fri.",
Arleta Avenue,East,Sheppard Avenue West and a point opposite the southerly limit of Anchor Drive,Anytime,
Victoria Park Avenue,East,A point opposite the north limit of Bracken Avenue and Kingston Road,Anytime,
Alamosa Drive,West,Finch Avenue East and a point opposite the easterly limit of Geraldton Crescent (east intersection),Anytime,
Avonwick Gate,West,A point opposite the southerly limit of Rustywood Drive and Beveridge Drive,Anytime,
Ashwarren Road,South,Ceramic Road and a point 164.5 metres east Keele Street,1:00 a.m. to 6:00 a.m.,
Allingham Gardens,East and South,A point opposite King High Avenue and Collinson Boulevard,Anytime,
Antibes Drive,South,Torresdale Avenue (south intersection) and a point opposite the easterly limit of Candle Liteway (east intersection),"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.",
Bakersfield Street,East,Ashwarren Road and a point opposite the northerly limit of St. Regis Crescent North,Anytime,
Avonwick Gate,West,Cassandra Boulevard and a point opposite the northerly limit of Rustywood Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Wynnview Court,Both,Glen Everest Road and a point 38.1 south of Glen Everest Road,Anytime,
Scunthorpe Road,Both,Milner Avenue and a point 30.5 metes south of Invergordon Avenue,Anytime,
Vauxhall Drive,Both,Birchmount Road and a point 183 metres east Birchmount Road,"7:00 a.m. to 6:00 p.m., Mon. to Fri.",
Taylor Road,North,Rouge Hills Drive and West Point Avenue,Anytime,
Southlawn Drive,South,Kennedy Road and a point opposite the east limit of Buena Vista Avenue,Anytime,
Bryn Road,West,Gracefield Avenue and a point opposite the northerly limit of Wickford Drive,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Castlegrove Boulevard,South and East,Broadlands Boulevard and a point opposite the easterly limit of Fairhill Crescent (west intersection),Anytime,
Burbank Drive,East,Farmingdale Road and a point opposite the southerly limit of Canary Crescent (south intersection),Anytime,
Burbank Drive,Both,Sheppard Avenue East Citation Drive,Anytime,
Brookhaven Drive,West,Trethewey Drive and a point opposite the southerly limit of Westchester Road,Anytime,
Calvin Avenue,East,Sheppard Avenue East and a point 27.5 metres north Irvington Crescent,Anytime,
Bridgeland Avenue,North,A point opposite the westerly limit of Caledonia Avenue and the west end of Bridgeland Avenue,Anytime,
Bannatyne Drive,North and East,A point opposite the westerly limit of Riderwood Drive and a point opposite the southerly limit of Mellowood Drive,Anytime,
Barber Greene Road,South,Don Mills Road and a point opposite the easterly limit of Wren Court,Anytime,
Bradstock Road,North,Weston Road and a point opposite the easterly limit of Samba Drive,Anytime,
Berkindale Drive,East and South,Heathcote Avenue and a point opposite the westerly limit of Gerald Street,Anytime,
Bogert Avenue,South,Beecroft Road Yonge Street,Anytime,
Bombay Avenue,South,Armour Boulevard and a point opposite the westerly limit of Kirkton Road,Anytime,
Bestview Drive,North and West,Laureleaf Road South and a point opposite the northerly limit of Harrington Crescent,Anytime,
Derrydown Road,East,A point opposite the southerly limit of Frankton Crescent and Grandravine Drive,Anytime,
Derrydown Road,East,A point opposite the southerly limit of Frankton Crescent and Catford Road,1:00 a.m. to 6:00 a.m.,
Diana Drive,South,Keele Street and a point opposite the westerly limit of Sunfield Road,Anytime,
Deerford Road,South,Don Mills Road East and point 80 metres east of Don Mills Road East,Anytime,
Driftwood Avenue,East and South,Finch Avenue West and a point opposite the east limit of Hoover Crescent (east intersection),Anytime,
Doris Avenue,East,Spring Garden Avenue and a point opposite the southerly limit of Hollywood Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Driftwood Avenue,East and south,Finch Avenue West and a point opposite the easterly limit of Hoover Crescent (east intersection),Anytime,
Denlow Boulevard,South,A point opposite the west limit of Bramble Drive and Caravan Drive,Anytime,
Doris Avenue,East,Hollywood Avenue and a point opposite the southerly limit of Norton Avenue,Anytime,
Driftwood Avenue,East,A point opposite the northerly limit of Grandravine Drive and Futura Drive,Anytime,
Dawlish Avenue (NY),North,Bayview Avenue and a point opposite the westerly limit of Daneswood Road,"7:00 a.m. to 7:00 p.m., Mon. to Fri.",
De Quincy Boulevard,North,A point opposite the west limit of Graymar Avenue and King High Avenue,Anytime,
Derrydown Road,South,Sentinel Road and a point opposite the easterly limit of Paulvale Crescent (west intersection),Anytime,
Churchill Avenue (NY),South,Canterbury Place and a point opposite the westerly limit of Claywood Road,"9:00 a.m. to 6:00 p.m., Mon. to Fri.",
Clydesdale Drive,East,Victoria Woods Gate and and point 27 metres south,Anytime,
Clair Road,South,Jane Street and a point opposite the easterly limit of Mayberry Road,Anytime,
Cocksfield Avenue,South,Wilson Heights Boulevard and a point opposite the westerly limit of Tillplain Road,"8:30 a.m. to 6:00 p.m., Mon. to Fri.",
Codsell Avenue,North,Bathurst Street and a point opposite the westerly limit of Heaton Street,Anytime,
Cuffley Crescent South,West/South,Keelegate Drive (west intersection) and a point 166 metres south and east thereof,Anytime,
Cuffley Crescent North,East/South,Keelegate Drive (west intersection) and a point 129 metres north and east thereof,Anytime,
Cuffley Crescent South,East/North,Keelegate Drive (west intersection) and a point 150 metres south and east thereof,Anytime,
Clipper Road,East,Van Horne Avenue and a point opposite the northerly limit of Bowhill Crescent (north intersection),Anytime,
Futura Drive,South and west,Driftwood Avenue and a point 84 metres southeast of Driftwood Avenue,Anytime,
Firgrove Crescent,South,Jane Street (north intersection) and a a point opposite the easterly limit of Picaro Drive,Anytime,
Firgrove Crescent,"South, east and north",A point opposite the westerly limit of Petiole Road and Jane Street (south intersection),Anytime,
Fox Point,North,Brookhaven Drive and the east end of Fox Point,Anytime,
Francine Drive,West,Zircon Court and a point opposite the easterly limit of Marisa Court,1:00 a.m. to 6:00 a.m.,
Glen Park Avenue,East,A point 108 metres north and Glencairn Avenue (east intersection),Anytime,
Flemington Road,North,A point opposite the easterly limit of Replin Road and a point opposite the southerly limit of Varna Drive,Anytime,
Glen Long Avenue,South,A point opposite the westerly limit of Ennerdale Street and a point opposite the easterly limit of Landsdowne Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Franklin Avenue (NY),North,Yonge Street and a point opposite the easterly limit of Botham Road,Anytime,
Flint Road,West,The south end of Flint Road and a point opposite the northerly limit of Supertest Road,Anytime,
Franklin Avenue (NY),North,A point opposite the westerly limit of Botham Road and Bassano Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Ernest Avenue,South,Victoria Park Avenue and a point opposite the easterly limit of Chalet Road,Anytime,
Ellerslie Avenue,North,Tamworth Road and a point opposite the westerly limit of Diagonal Road,Anytime,
Fairchild Avenue,South and east,A point opposite the easterly limit of Burke Street and Inez Court,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",
Fairchild Avenue,South and east,A point opposite the easterly limit of Burke Street and Inez Court,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",
Hawksbury Drive,West,Sheppard Avenue East and a point opposite the westerly limit of Morewood Crescent (west intersection),Anytime,
Hendon Avenue,North,Yonge Street and a point opposite the westerly limit of Kensington Avenue,Anytime,
Hounslow Avenue,Both,A point 70 metres north and west of Horsham Avenue and Tamworth Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Hove Street,West and south,Brighton Avenue and a point opposite the westerly limit of Hershelen Road,Anytime,
Hobart Drive,East and north,Seneca Hill Drive and a point 155 metres southeast of Seneca Hill Drive,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Holcolm Road,South,A point opposite the easterly limit of Edithvale Drive and Tamworth Road,Anytime,
Ikley Road,East and south,Fallingdale Crescent (southwest intersection) and a point 106.8 metres north and east of Fallingdale Crescent (southwest intersection),Anytime,
Ingleside Drive,West,Wilson Avenue and a point opposite the southerly limit of Graham Road,Anytime,
Glencairn Avenue (NY),South,Dufferin Street and a point opposite the easterly limit of Ennerdale Avenue,Anytime,
Green Bush Road,North,A point opposite the westerly limit of Fontainbleau Drive and Road and Tanjoe Crescent (west intersection),Anytime,
Haddington Avenue,North,Bathurst St and a point opposite the westerly limit of Sunshine Street,Anytime,
Gosford Boulevard,West,Shoreham Drive and a point opposite the southerly limit of Milo Park Gate,Anytime,
Glentworth Road,East,A point opposite the northerly limit of Ennismore Place and a point opposite the southerly limit of Marowyne Drive,Anytime,
Grampian Crescent,South and west,Aviemore Drive (north intersection) and a point 100 metres east and south,Anytime,
Grandravine Drive,South,A point opposite the easterly limit of Derrydown Road and Sentinel Road,Anytime,
Goddard Street,East,Sheppard Avenue West and a point opposite the southerly limit of Cocksfield Avenue,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Granlea Road,North,Calvin Avenue and a point opposite the westerly limit of Vonda Avenue,Anytime,
Goldenwood Road,South,A point opposite the southerly limit of Topaz Gate and a point opposite the easterly limit of Sparwood Court,Anytime,
Lois Avenue,East,Wenderly Drive and a point opposite the northerly limit of Glenbrook Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Lois Avenue,East,A point ppposite the southerly limit of Glenbrook Avenue and Glengrove Avenue,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
MicMac Crescent,South and east,Shawnee Circle (northwest intersection) and a point 114.5 metres west and south,Anytime,
Marquette Avenue,South,Bathurst Street and a point opposite the easterly limit of Carhartt Street,Anytime,
Lord Seaton Road,North and west,Yorkminster Road (southwest intersection) and a point opposite the southerly limit of Montressor Drive,Anytime,
Mason Boulevard,East,A point opposite the northerly limit of Dunster Avenue and De Vere Gardens,"8:00 a.m. to 11:00 a.m., Mon. to Fri.",
Mentor Boulevard,Both,Mogul Drive and a point 204 metres east and north of Mogul Drive,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",
Kingslake Road,North,Godstone Road and a point opposite the westerly limit of Allenbury Gardens (west intersection),Anytime,
Lindylou Road,South,A point opposite the easterly limit of Rumike Road and Daystrom Drive (southeast intersection),Anytime,
Laurelcrest Avenue,North,Bathurst Street and a point 91.5 metres west Bathurst Street,Anytime,
Kenneth Avenue,West,A point opposite the southerly limit of Spring Garden Avenue and a point 90 metres south thereof,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Kenneth Avenue,West,A point opposite the notherly limit of Spring Garden Avenue and Hollywood Avenue,Anytime,
Kenneth Avenue,East,Spring Garden Avenue and a point 88 metres south thereof,Anytime,
Parkchester Road,South,Brookhaven Drive and a point opposite the easterly limit of Westchester Road,Anytime,
Pemberton Avenue,Both,Kenneth Avenue and a ooint 152.5 metres west,Anytime,
Prestwick Crescent,East and south,A point opposite the northerly limit of Dexter Boulevard and Clansman Boulevard (north intersection),Anytime,
Ranee Avenue,North,Dufferin Street and a point opposite the westerly limit of Flemington Road,"9:00 a.m. to 4:00 p.m., Mon. to Fri.",
Regatta Crescent,East and south,Greenwin Village Road and a point 321 metres south/west of Bison Drive,1:00 a.m. to 6:00 a.m.,
Parkway Forest Drive,East,A point 342 metres south and Sheppard Avenue East,Anytime,
Rajah Street,West,Neptune Drive and a point opposite the southerly limit of Wasdale Crescent,Anytime,
Pineway Boulevard,East,A point opposite the northerly limit of Old Cummer Avenue and Yatesbury Road (south intersection),Anytime,
Ranee Avenue,North,A point opposite the westerly limit of Flemington Road and Varna Drive,Anytime,
Northover Street,North,A point opposite of Giltspur Drive and Ladyfield Court,Anytime,
Old Sheppard Avenue,North,Muirhead Road and a point opposite the westerly limit of Ladner Drive,Anytime,
Nymark Avenue,South,Shaughnessy Boulevard and a point opposite the westerly limit of Hollybrook Crescent,Anytime,
Nymark Avenue,South,Leslie Street and a point opposite the easterly limit of Corning Road,Anytime,
Oakdale Road,West,Sheppard Avenue West and a point 30 metres north Torbarrie Road,Anytime,
Moccasin Trail,South and west,Nob Lane and a point 76 metres west and north,Anytime,
Newton Drive,South and east,Bayview Avenue and a point opposite the westerly limit of Robinter Drive,Anytime,
Otter Crescent (NY),Both,A point 88.5 metres southeast of Edgecombe Avenue and the westerly limit of Edgecombe Avenue,Anytime,
Old Sheppard Avenue,North,A point opposite the easterly limit of Ladner Drive and Victoria Park Avenue,"4:00 p.m. to 8:00 a.m., Mon. to Fri.",
Mossgrove Trail,East and south,A point 150 metres south Riderwood Drive and a point 180 metres south and west of Riderwood Drive,Anytime,
North Hills Terrace,"South, west and north",A point 164 southwest of Moccasin Trail and a point 208 metres south thereof,Anytime,
Southill Drive,West,Barber Greene Road and a point opposite the northerly limit of Foxden Road,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.",
Strathallan Wood,South,Alexandra Wood and point 306.6 metres east of Alexandra Wood,Anytime,
Sparrow Avenue,North,Dufferin Street and a point opposite the westerly limit of Mulholland Avenue,Anytime,
Stilecroft Drive,South and east,Sentinel Road and a point 287 metres west and south,Anytime,
Talbot Road,West,Finch Avenue West and a point opposite the southerly limit of Blake Avenue,Anytime,
Santa Barbara Road,East and south,Kempford Boulevard and a point 105.5 metres south and west,Anytime,
Reiner Road,South,A point opposite the easterly limit of Hammell Street and Bathurst Street,Anytime,
Santa Barbara Road,West and north,A point opposite the southerly limit of Kempford Boulevard and a point 70 metres south and west,"8:30 a.m. to 4:30 p.m., Mon. to Fri.",
Santa Barbara Road,South,A point 105.5 metres south and west of Kempford Boulevard and Basswood Road,"8:00 a.m. to 6:00 p.m., Mon. to Fri.",
Riderwood Drive,North and west,Mossgrove Trail and a point opposite the southerly limit of Kirkwood Road,Anytime,
Shaftesbury Street,East,Clifton Avenue and a point opposite the southerly limit of Pannahill Road,"8:00 a.m. to 4:00 p.m., Mon. to Fri.",
Ridge Road,East,Wilson Avenue and a point opposite the northerly limit of Downsview Avenue,Anytime,
